First_Inspection_Date,Type,Location,Posting_Date,Removal_Start,Removal_End,Tents,Structures,Bedrolls,Vehicles,72_Tents,72_ Structures,72_Bedrolls,72_Vehicles,Latitude,Longitude
12/30/2019,Obstruction,800 Mercer St,"",12/30/2019,12/30/2019,0,1,0,0,,,,,,
12/30/2019,Obstruction,Ballard Commons,"",12/30/2019,12/30/2019,4,0,2,0,,,,,,
12/30/2019,Obstruction,Green Lake Park,"",12/30/2019,12/30/2019,3,0,1,0,,,,,,
12/30/2019,Obstruction,4th & Yesler,"",12/30/2019,12/30/2019,1,0,10,0,,,,,,
12/30/2019,Obstruction,3rd & Main,"",12/30/2019,12/30/2019,0,0,0,0,,,,,,
12/30/2019,Obstruction,1st & Main,"",12/30/2019,12/30/2019,0,0,0,0,,,,,,
12/30/2019,Obstruction,West Seattle Stadium,"",12/30/2019,12/30/2019,1,0,0,0,,,,,,
12/30/2019,Obstruction,Schmitz Park,"",12/30/2019,12/30/2019,1,0,0,0,,,,,,
1/7/2020,Obstruction,Ballard Commons Park,"",1/7/2020,1/7/2020,0,1,0,0,,,,,,
1/7/2020,Obstruction,Utah Ave S &  S Alaska St,"",1/7/2020,1/7/2020,1,1,0,0,,,,,,
1/2/2020,Obstruction,Alaskan Way Construction Zone,,1/2/2020,1/2/2020,7,0,2,0,"","","","",,
1/2/2020,Obstruction,Pier 59 1421 Alaskan Way 98101,,1/2/2020,1/2/2020,1,0,0,0,"","","","",,
1/2/2020,Obstruction,Oxbow Park,,1/2/2020,1/2/2020,1,0,1,0,"","","","",,
1/2/2020,Obstruction,Bradford and 9th to 6 Ave,,1/2/2020,1/2/2020,1,0,0,0,"","","","",,
1/2/2020,Obstruction,5th and Yesler,,1/2/2020,1/2/2020,0,0,0,0,"","","","",,
1/2/2020,Litter Pick,Prefontaine Park,,1/2/2020,1/2/2020,0,0,0,0,"","","","",,
1/2/2020,Obstruction,4th Ave and Yesler Way,,1/2/2020,1/2/2020,0,0,1,0,"","","","",,
1/3/2020,Obstruction,Denny Way and 2nd Ave,,1/3/2020,1/3/2020,1,0,0,0,"","","","",,
1/3/2020,Obstruction,Broad St and 3rd Ave,,1/3/2020,1/3/2020,0,1,0,0,"","","","",,
1/3/2020,Litter Pick,Prefontaine Park,,1/3/2020,1/3/2020,0,0,0,0,"","","","",,
1/3/2020,Obstruction,4th Ave and Yesler Way,,1/3/2020,1/3/2020,0,0,1,0,"","","","",,
1/3/2020,Obstruction,S Washington St and 4th Ave,,1/4/2020,1/4/2020,1,0,0,0,"","","","",,
1/4/2020,Obstruction,Ballard Commons,,1/4/2020,1/4/2020,3,0,2,0,"","","","",,
1/4/2020,Obstruction,Fremont Canal,,1/4/2020,1/4/2020,3,0,0,0,"","","","",,
1/4/2020,Obstruction,Pioneer Square Pergola,,1/4/2020,1/4/2020,0,0,3,0,"","","","",,
1/4/2020,Obstruction,5th Ave and Yesler Way,,1/4/2020,1/4/2020,0,0,2,0,"","","","",,
1/4/2020,Obstruction,4th Ave and Yesler Way,,1/4/2020,1/4/2020,1,1,2,0,"","","","",,
