FID,Shape *,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,Cleanup,Site_Name,Property_O,Precinct,Type,Complaint,Inspect,Post,Outreach,Cleanup_1,Latitude,Longitude,OBJECTID_2,AREA,PERIMETER,HOODS_,HOODS_ID,S_HOOD,L_HOOD,L_HOODID,SYMBOL,SYMBOL2
442,Point,443,1,442,443,132-14,6th Ave &  James St,SDOT,West,Camping,2/10/2016,4/4/2016,4/4/2016,4/20/2016,4/20/2016,47.603462,-122.32743,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
554,Point,555,1,554,555,16-06,Carpool Lot - 6th & Cherry,SDOT,West,Encampment,6/19/2008,6/19/2008,6/19/2008,6/23/2008,6/23/2008,47.604874,-122.328736,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
555,Point,556,1,555,556,16-07,Carpool Lot - 6th & Cherry,SDOT,West,Camping,6/26/2008,6/26/2008,6/26/2008,6/30/2008,6/30/2008,47.604874,-122.328736,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
562,Point,563,1,562,563,16-13,Carpool Lot - 6th & Cherry,SDOT,West,Encampment,5/2/2011,5/5/2011,5/5/2011,5/9/2011,5/9/2011,47.604874,-122.328736,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
975,Point,976,1,975,976,227-08,4th Ave under Yesler overpass,SDOT,West,Encampment,11/24/2015,12/7/2015,<Null>,12/7/2015,12/7/2015,47.600895,-122.328969,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
1914,Point,1915,1,1914,1915,399-01,Under Alaskan Way Viaduct north of S Main St,SDOT,West,Camping,11/14/2011,11/16/2011,<Null>,11/16/2011,11/16/2011,47.600202,-122.335489,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
1945,Point,1946,1,1945,1946,409-01,Cherry between 6th & 7th Ave,SDOT,West,Camping,1/5/2012,1/5/2012,1/6/2012,1/10/2012,1/10/2012,47.604919,-122.32859,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
1946,Point,1947,1,1946,1947,409-02,Cherry between 6th & 7th Ave,SDOT,West,Camping,3/13/2013,3/18/2013,3/19/2013,3/21/2013,3/21/2013,47.604919,-122.32859,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
2714,Point,2715,1,2714,2715,679-02,316 Alaskan Way S,SDOT,West,Camping,4/1/2014,4/3/2014,4/3/2014,4/10/2014,4/10/2014,47.599503,-122.335504,65,11474029,19289.813,67,163,Pioneer Square,DOWNTOWN,13,11,33
2247,Point,2248,1,2247,2248,498-02,W Duwamish Greenbelt Soundway - W. Marginal Way and Highland Parkway,Parks,Southwest,Camping,12/15/2014,1/5/2015,1/13/2015,1/22/2015,1/22/2015,47.541874,-122.346926,91,33038268,25917.117,93,180,Riverview,DELRIDGE,20,10,24
594,Point,595,1,594,595,172-09,Aurora Ave N & Mercer Greenbelt,SDOT,West,Camping,2/20/2013,2/21/2013,2/21/2013,3/1/2013,3/1/2013,47.624526,-122.343602,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
1848,Point,1849,1,1848,1849,382-01,Broad Street Under Aurora Ave,SDOT, ,Camping,9/21/2011,9/23/2011,<Null>,9/28/2011,9/28/2011,47.623571,-122.34389,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
2486,Point,2487,1,2486,2487,590-03,I-5 NB onramp at Denny Way,WSDOT,West,Encampment,1/21/2015,12/17/2015,12/17/2015,12/21/2015,12/21/2015,47.618748,-122.328966,49,16107105,29323.547,51,200,South Lake Union,CASCADE,12,10,95
259,Point,260,1,259,260,1103-02,6300 SEAVIEW AVE NW,SDOT,North,Camping,10/23/2015,11/17/2015,11/17/2015,11/24/2015,11/24/2015,47.674484,-122.406034,119,24335620,29416.73,121,116,Sunset Hill,BALLARD,7,11,81
733,Point,734,1,733,734,2130-01,6826 SEAVIEW AVE NW,SDOT,North,Camping,11/6/2015,11/17/2015,11/17/2015,11/24/2015,11/24/2015,47.678002,-122.405914,119,24335620,29416.73,121,116,Sunset Hill,BALLARD,7,11,81
2112,Point,2113,1,2112,2113,456-01,4345 University Way NE,Private - DPD,North,Camping,5/23/2012,5/23/2012,<Null>,5/23/2012,5/23/2012,47.661023,-122.313237,42,49348388,41446.941,44,139,University District,UNIVERSITY DISTRICT,5,12,33
392,Point,393,1,392,393,128-01,5th Ave NE  & NE 40th St (Access Road next to I-5),SDOT,North,Encampment,6/17/2009,6/22/2009,6/22/2009,7/7/2009,7/7/2009,47.656553,-122.323166,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
578,Point,579,1,578,579,168-05,NE 40th St Greenbelt,SDOT,North,Camping,3/12/2015,3/17/2015,3/17/2015,3/20/2015,3/20/2015,47.655977,-122.324131,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
909,Point,910,1,909,910,2232-01,NE 50th St & 5th Ave NE,SDOT,North,Camping,3/16/2016,2/3/2016,1/9/2016,2/3/2016,2/3/2016,47.664972,-122.322854,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
1431,Point,1432,1,1431,1432,263-01,Greenbelt below N 46th and Aurora Ave N,SDOT,North,Camping,7/15/2010,7/16/2010,<Null>,7/16/2010,7/16/2010,47.661991,-122.346954,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
1503,Point,1504,1,1503,1504,287-02,NE 40th St & 6th Ave NE,SDOT,North,Camping,4/18/2012,4/20/2012,4/20/2012,4/26/2012,4/26/2012,47.655536,-122.322548,32,42068344,33040.246,34,133,Wallingford,NO BROADER TERM,6,9,19
455,Point,456,1,455,456,14-01,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Parks,West,Camping,4/30/2008,5/20/2008,<Null>,5/28/2008,5/28/2008,47.634251,-122.37422,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
456,Point,457,1,456,457,14-02,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Parks,West,Encampment,6/5/2008,6/5/2008,6/9/2008,6/19/2008,6/19/2008,47.634251,-122.37422,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
457,Point,458,1,457,458,14-03,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Parks,West,Encampment,8/29/2008,8/29/2008,8/29/2008,9/11/2008,9/11/2008,47.634251,-122.37422,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
468,Point,469,1,468,469,14-13,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Parks,West,Encampment,6/12/2013,8/28/2013,8/28/2013,9/9/2013,9/9/2013,47.634251,-122.37422,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
469,Point,470,1,469,470,14-14,"SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4",Parks,West,Encampment,10/28/2013,11/19/2013,11/20/2013,12/2/2013,12/2/2013,47.634251,-122.37422,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
1762,Point,1763,1,1762,1763,363-02,12th Ave W & W Blaine Street,Parks,West,Encampment,4/18/2013,8/20/2013,8/29/2013,9/4/2013,9/4/2013,47.634758,-122.372749,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
2185,Point,2186,1,2185,2186,475-17,15th Ave W & W Garfield St,SDOT,West,Encampment,4/8/2015,4/10/2015,4/10/2015,4/17/2015,4/17/2015,47.633531,-122.376176,44,17974986,20631.705,46,148,West Queen Anne,QUEEN ANNE,10,7,94
692,Point,693,1,692,693,207-04,Under Ballard Bridge 15th Ave NW and  Leary Way NW,SDOT,North,Camping,4/9/2014,4/15/2014,4/18/2014,4/23/2014,4/23/2014,47.663662,-122.376072,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
695,Point,696,1,695,696,207-07,Under Ballard Bridge 15th Ave NW and  Leary Way NW,SDOT,North,Camping,9/22/2014,9/25/2014,9/25/2014,9/30/2014,9/30/2014,47.663662,-122.376072,30,22199366,21789.65,32,130,West Woodland,BALLARD,7,11,9
